gvkey,quarter,conm,tic,atq,niq,cheq,saleq,cshoq
1690,1980Q1,APPLE INC,AAPL,24.636,2.647,4.968,19.54,43.575
1690,1980Q2,APPLE INC,AAPL,30.353,2.788,5.361,23.55,45.838
1690,1980Q3,APPLE INC,AAPL,41.707,2.735,0.415,32.569,46.158
1690,1980Q4,APPLE INC,AAPL,65.35,3.528,2.474,41.467,48.397
1690,1981Q1,APPLE INC,AAPL,162.122,7.421,74.688,67.621,54.622
1690,1981Q2,APPLE INC,AAPL,190.739,9.175,75.886,78.765,55.237
1690,1981Q3,APPLE INC,AAPL,222.347,11.858,77.638,90.719,55.136
1690,1981Q4,APPLE INC,AAPL,254.838,10.966,72.834,97.678,55.309
1690,1982Q1,APPLE INC,AAPL,285.186,13.562,76.157,133.553,55.421
1690,1982Q2,APPLE INC,AAPL,302.389,13.817,101.313,131.019,56.488
1690,1982Q3,APPLE INC,AAPL,323.961,15.193,122.521,142.681,56.743
1690,1982Q4,APPLE INC,AAPL,357.787,18.734,153.056,175.808,57.123
1690,1983Q1,APPLE INC,AAPL,408.157,23.519,191.865,214.293,57.648
1690,1983Q2,APPLE INC,AAPL,459.457,23.883,209.538,227.982,58.295
1690,1983Q3,APPLE INC,AAPL,525.192,24.204,188.631,267.284,60.441
1690,1983Q4,APPLE INC,AAPL,556.579,5.108,143.284,273.21,59.198
1690,1984Q1,APPLE INC,AAPL,607.481,5.822,187.485,316.228,59.41
1690,1984Q2,APPLE INC,AAPL,626.297,9.132,203.444,300.102,59.847
1690,1984Q3,APPLE INC,AAPL,707.952,18.295,194.286,422.143,60.117
1690,1984Q4,APPLE INC,AAPL,788.785,30.806,114.888,477.399,60.535
1690,1985Q1,APPLE INC,AAPL,966.55,46.099,195.389,698.296,60.724
1690,1985Q2,APPLE INC,AAPL,875.959,9.977,194.167,435.344,61.517
1690,1985Q3,APPLE INC,AAPL,872.982,-17.21,254.608,374.929,61.62
1690,1985Q4,APPLE INC,AAPL,936.176,22.357,337.012,409.709,61.85
1690,1986Q1,APPLE INC,AAPL,1022.022,56.925,441.53,533.89,62.289
1690,1986Q2,APPLE INC,AAPL,1056.298,31.812,518.762,408.943,63.411
1690,1986Q3,APPLE INC,AAPL,1115.432,32.333,568.027,448.279,63.923
1690,1986Q4,APPLE INC,AAPL,1160.127,32.893,576.214,510.786,62.628
1690,1987Q1,APPLE INC,AAPL,1274.906,58.473,631.235,662.253,62.751
1690,1987Q2,APPLE INC,AAPL,1375.465,33.866,702.435,575.327,64.018
1690,1987Q3,APPLE INC,AAPL,1388.648,53.479,623.984,637.064,125.683
